Nome,Cervejaria,Grupo,Estilo,Alcool,Ativa,Sazonal,Minima,Maxima,Copo,Geral,Aroma,Aparencia,Sabor,Sensacao,Conjunto,Votos
Straffe Hendrik Brugs Tripel,Halve MaanEstiloBelgian Tripel  Álcool (%)9% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TulipaVisite o website,NA,Belgian Tripel,9,SIM,Não é sazonal,8,12, Tulipa,3.8,8,4,15,4,8,37
Struise Pannepot,De StruiseEstiloBelgian Dark Strong Ale  Álcool (%)10% ABVAtivaSIMSazonalNão é sazonalTemperatura13-15 °C Copo ideal Taça Cálice (Trapista)Visite o website,NA,Belgian Dark Strong Ale,10,SIM,Não é sazonal,13,15, Taça Cálice (Trapista),4.2,8,4,17,4,9,36
Tempelier,Du BocqEstiloBelgian Golden Strong Ale  Álcool (%)6% ABVAtivaSIMSazonalNão é sazonalCopo ideal Tulipa,NA,Belgian Golden Strong Ale,6,SIM,Não é sazonalCopo ideal Tulipa,NA,NA, Tulipa,3.5,7,4,13,3,7,36
Trappistes Rochefort 10,Abbaye Notre-Dame de Saint-RemyEstiloBelgian Dark Strong Ale  Álcool (%)11.3% ABVAtivaSIMSazonalNão é sazonalTemperatura13-15 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Dark Strong Ale,11.3,SIM,Não é sazonal,13,15, Cálice (Trapista),4.5,9,4,18,5,9,213
Trappistes Rochefort 6,Abbaye Notre-Dame de Saint-RemyEstiloBelgian Dubbel  Álcool (%)7.5% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Dubbel,7.5,SIM,Não é sazonal,8,12, Cálice (Trapista),3.9,8,4,16,4,8,156
Trappistes Rochefort 8,Abbaye Notre-Dame de Saint-RemyEstiloBelgian Dark Strong Ale  Álcool (%)9.2% ABVAtivaSIMSazonalNão é sazonalTemperatura13-15 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Dark Strong Ale,9.2,SIM,Não é sazonal,13,15, Cálice (Trapista),4.2,8,4,17,4,8,180
Tripel Karmeliet,BosteelsImportadoraMearaEstiloBelgian Tripel  Álcool (%)8% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa TaçaVisite o website,NA,Belgian Tripel,8,SIM,Não é sazonal,8,12, Tulipa Taça,4.2,8,4,17,4,8,267
Vedett Extra Ordinary IPA,Brouwerij Moortgat,Duvel-Moortgart,Belgian IPA,6,SIM,Não é sazonal,5,7, Tulipa Pint Caldereta,3.8,7,4,15,4,8,49
Vedett Extra White,Brouwerij Moortgat,Duvel-Moortgart,Witbier,4.7,SIM,Não é sazonal,5,7, Tumbler,3.6,7,4,14,4,7,215
Waterloo Double 8 Dark,Du BocqEstiloBelgian Dark Strong Ale  Álcool (%)8.5% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TaçaVisite o website,NA,Belgian Dark Strong Ale,8.5,SIM,Não é sazonal,8,12, Taça,3.6,7,4,14,4,7,54
Waterloo Triple 7 Blond,Du BocqEstiloBelgian Tripel  Álcool (%)7% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TulipaVisite o website,NA,Belgian Tripel,7,SIM,Não é sazonal,8,12, Tulipa,3.3,6,3,13,3,7,71
Westmalle Dubbel,Trappisten van WestmalleEstiloBelgian Dubbel  Álcool (%)7% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Dubbel,7,SIM,Não é sazonal,8,12, Cálice (Trapista),4,8,4,16,4,8,174
Westmalle Tripel,Trappisten van WestmalleImportadoraCasa da CervejaEstiloBelgian Tripel  Álcool (%)9.5% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Tripel,9.5,SIM,Não é sazonal,8,12, Cálice (Trapista),4.2,8,4,17,4,8,188
Westvleteren Abt 12,Westvleteren Abdij St. SixtusEstiloBelgian Quadrupel / ABT  Álcool (%)10.2% ABVIngredientesÁgua, Malte, Lúpulo, Fermento e Especiarias.AtivaSIMSazonalNão é sazonalTemperatura13-15 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Quadrupel / ABT,NA,SIM,Não é sazonal,10.2,NA, Cálice (Trapista),4.7,9,5,19,5,9,106
Westvleteren Blond,Westvleteren Abdij St. SixtusEstiloBelgian Specialty Ale  Álcool (%)5.8% ABVIBU41IngredientesÁgua, malte, lúpulo, fermento e especiarias.AtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Specialty Ale,NA,SIM,Não é sazonal,5.8,41, Cálice (Trapista),4.2,8,4,17,4,9,41
Westvleteren Extra 8,Westvleteren Abdij St. SixtusEstiloBelgian Dark Strong Ale  Álcool (%)8% ABVIngredientesÁgua, Malte, Lúpulo, Fermento e Especiarias.AtivaSIMSazonalNão é sazonalTemperatura13-15 °C Copo ideal Cálice (Trapista)Visite o website,NA,Belgian Dark Strong Ale,NA,SIM,Não é sazonal,8,NA, Cálice (Trapista),4.6,9,5,18,5,9,47
Paceña,Cerveceria Boliviana Nacional S.A.EstiloStandard American Lager  Álcool (%)3.9% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,NA,SIM,Não é sazonal,NA,3.9, Lager (Chope),2.5,4,3,10,3,5,33
Bohemia 14-Weiss,AmBev,Anheuser-InBev,German Weizen,5,SIM,Não é sazonal,5,7, Weizen,2.9,6,3,12,3,6,78
3 Lobos American Pilsen,Cervejaria Backer:: ver detalhes da cervejariaEstiloClassic American Pilsner  Álcool (%)5% ABVIBU31IngredientesÁgua, Malte de Cevada, Lúpulo e Açúcar Mascavo.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Classic American Pilsner,5,SIM,Não é sazonal,31,NA, Lager (Chope),3.5,7,4,14,4,7,127
3 Lobos Bravo,Cervejaria Backer:: ver detalhes da cervejariaEstiloPorter  Álcool (%)9% ABVIBU42IngredientesÁgua, malte de cevada, lúpulo, açúcar mascavo e leveduraAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TaçaVisite o website,NA,Porter,9,SIM,Não é sazonal,42,8, Taça,3.8,7,4,15,4,7,175
3 Lobos Exterminador,Cervejaria Backer:: ver detalhes da cervejariaEstiloAmerican Wheat/Rye  Álcool (%)4.5% ABVIBU18IngredientesÁgua, malte de cevada, lúpulo, açúcar mascavo, malte de trigo, fermento e capim-limãoAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal WeizenVisite o website,NA,American Wheat/Rye,4.5,SIM,Não é sazonal,18,0, Weizen,3.4,7,3,14,4,7,157
3 Lobos Pele Vermelha,Cervejaria Backer:: ver detalhes da cervejariaEstiloIndia Pale Ale (IPA)  Álcool (%)6.9% ABVIBU53IngredientesÁgua, malte de cevada, lúpulo, levedura e casca de laranjaAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal CalderetaVisite o website,NA,India Pale Ale (IPA),6.9,SIM,Não é sazonal,53,8, Caldereta,3.6,7,4,14,4,7,168
6 o'clock,Cervejaria Invicta:: ver detalhes da cervejariaEstiloAmerican IPA  Álcool (%)5.8% ABVIngredientesÁgua, malte de cevada, lúpulo e fermentoAtivaSIMSazonalColaborativaTemperatura5-7 °C Copo ideal Pint CalderetaVisite o website,NA,American IPA,5.8,SIM,Colaborativa,5,7, Pint Caldereta,3.8,7,4,15,4,8,65
777 Jackpot,Blondine Microbrewery:: ver detalhes da cervejariaEstiloStandard American Lager  Álcool (%)4.6% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,4.6,SIM,Não é sazonal,0,4, Lager (Chope),2.3,4,3,8,2,5,34
Bohemia 838 Pale Ale,AmBev,Anheuser-InBev,Extra Special Bitter/English Pale Ale,4,SIM,Não é sazonal,10,5, Pint,3.2,6,4,13,3,7,95
A Outra,Cervejaria KrillEstiloStandard American Lager  Álcool (%)4.5% ABVIngredientesÁgua, malte, lúpulo, carboidratos e gás carbônico.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,4.5,SIM,Não é sazonal,NA,0, Lager (Chope),1.5,2,2,5,2,3,44
De Bora Poderosa IPA,De Bora BierEstiloIndia Pale Ale (IPA)  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint,NA,India Pale Ale (IPA),5,SIM,Não é sazonal,5,7, Pint,3.4,7,4,13,3,7,46
Abadessa Export,Cervejaria Abadessa:: ver detalhes da cervejariaEstiloDortmunder Export  Álcool (%)5% ABVIngredientesÁgua, malte, lúpulo e leveduras.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal TaçaVisite o website,NA,Dortmunder Export,5,SIM,Não é sazonal,NA,5, Taça,3.8,7,4,15,4,8,43
Abadessa Helles,Cervejaria Abadessa:: ver detalhes da cervejariaEstiloMunich Helles  Álcool (%)4.6% ABVIngredientesÁgual, malte, lúpulo e leveduras.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Munich Helles,4.6,SIM,Não é sazonal,NA,5, Caneca,3.6,7,4,14,4,7,28
Abadessa Slava Pils,Cervejaria Abadessa:: ver detalhes da cervejariaEstiloGerman Pilsner  Álcool (%)4.1% ABVIngredientesÁgua, malte, lúpulo e levedura.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal PilsnerVisite o website,NA,German Pilsner,4.1,SIM,Não é sazonal,NA,0, Pilsner,3.7,7,4,15,4,7,43
Amazon Beer Red Ale Priprioca,Amazon Beer:: ver detalhes da cervejariaEstiloIrish Red Ale  Álcool (%)6% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TulipaVisite o website,NA,Irish Red Ale,6,SIM,Não é sazonal,8,12, Tulipa,3.4,7,4,13,3,7,82
Amazon Beer Stout Açaí,Amazon BeerEstiloDry Stout  Álcool (%)7.2% ABVIBU30Cor SRM8,00Ingredienteságua, malte, lúpulo, polpa de açaí e essência naturalAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,Dry Stout,7.2,SIM,Não é sazonal,30,5, Pint,3.5,7,4,14,4,7,118
Amazon Beer Witbier Taperebá,Amazon Beer:: ver detalhes da cervejariaEstiloWitbier  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Tumbler,NA,Witbier,4.7,SIM,Não é sazonal,0,4, Tumbler,3.5,7,3,14,3,7,110
Amazon Forest Pilsen,Amazon Beer:: ver detalhes da cervejariaEstiloLite American Lager  Álcool (%)3.5% ABVIngredientesÁgua, malte, lúpulo e leveduraAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Lite American Lager,3.5,SIM,Não é sazonal,0,4, Lager (Chope),2.6,5,3,10,3,5,28
Amazon IPA Cumaru,Amazon BeerEstiloIndia Pale Ale (IPA)  Álcool (%)5.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PintVisite o website,NA,India Pale Ale (IPA),5.7,SIM,Não é sazonal,5,7, Pint,3.3,7,4,13,3,6,78
Amnésia,Mistura ClássicaEstiloImperial / Double IPA  Álcool (%)9% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint Caldereta,NA,Imperial / Double IPA,9,SIM,Não é sazonal,5,7, Pint Caldereta,3.7,7,4,15,4,7,62
Antarctica,AmBev,Anheuser-InBev,Standard American Lager,4.9,SIM,Não é sazonal,300,405, Lager (Chope) Pilsner Caldereta,1.8,3,2,7,2,4,206
Antarctica Cristal,AmBev,Anheuser-InBev,Standard American Lager,5.5,SIM,Não é sazonal,300,405, Lager (Chope) Caldereta,2,3,3,8,2,4,42
Antarctica Malzbier,AmBev,Anheuser-InBev,Malzbier,4.3,SIM,Não é sazonal,5,7, Lager (Chope),1.6,3,2,5,2,3,69
Antarctica Sub Zero,AmBevEstiloStandard American Lager  Álcool (%)4.6% ABVIngredientesÁgua, malte, cereais não malteados, carboidratos e lúpulo.AtivaSIMSazonalOutrosTemperatura0-4 °C Copo ideal Lager (Chope) Pilsner Caldereta,NA,Standard American Lager,4.6,SIM,Outros,NA,0, Lager (Chope) Pilsner Caldereta,1.4,2,2,5,2,3,206
Ashby Ale,Cervejaria AshbyEstiloExtra Special Bitter/English Pale Ale  Álcool (%)5.8% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa Pint CalderetaVisite o website,NA,Extra Special Bitter/English Pale Ale,5.8,SIM,Não é sazonal,5,7, Tulipa Pint Caldereta,2.6,5,3,10,3,5,38
Ashby Nirvana IPA,Cervejaria AshbyEstiloIndia Pale Ale (IPA)  Álcool (%)5.5% ABVIBU55AtivaSIMSazonalNão é sazonalVisite o website,NA,India Pale Ale (IPA),5.5,SIM,Não é sazonalVisite o website,55,NA,NA,3.2,6,3,13,3,6,32
Ashby Pale Ale Extra,Cervejaria AshbyEstiloAmerican Pale Ale  Álcool (%)5.1% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CalderetaVisite o website,NA,American Pale Ale,5.1,SIM,Não é sazonal,5,7, Caldereta,2.7,5,3,11,3,5,57
Ashby Pilsener,Cervejaria AshbyEstiloStandard American Lager  Álcool (%)4.6% ABVIngredientesÁgua potável tratada, malte, cereais não maltados, carboidratos e lúpulo.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Caneca Lager (Chope) CalderetaVisite o website,NA,Standard American Lager,4.6,SIM,Não é sazonal,NA,0, Caneca Lager (Chope) Caldereta,2.2,4,3,9,2,5,40
Ashby Porter,Cervejaria AshbyEstiloPorter  Álcool (%)4.9% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa TaçaVisite o website,NA,Porter,4.9,SIM,Não é sazonal,8,12, Tulipa Taça,2.6,5,3,10,2,5,40
Ashby Weiss,Cervejaria AshbyEstiloGerman Weizen  Álcool (%)6.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,6.7,SIM,Não é sazonal,5,7, Weizen,3,6,3,11,3,6,45
Ashby Wheat Orange,Cervejaria AshbyEstiloFruit Beer  Álcool (%)6.7% ABVAtivaSIMSazonalNão é sazonalVisite o website,NA,Fruit Beer,6.7,SIM,Não é sazonalVisite o website,NA,NA,NA,2.7,6,3,10,3,5,27
Ashby Wheat Raspberry,Cervejaria AshbyEstiloFruit Beer  Álcool (%)6.7% ABVAtivaSIMSazonalNão é sazonalVisite o website,NA,Fruit Beer,6.7,SIM,Não é sazonalVisite o website,NA,NA,NA,3,6,3,12,3,6,33
Bohemia Aura Lager,AmBev,Anheuser-InBev,Vienna Lager,5,SIM,Não é sazonal,5,7, Caneca,3,5,4,12,3,6,77
Áustria Bier Amber,Krug Bier:: ver detalhes da cervejariaEstiloAmber Lager  Álcool (%)4.5% ABVIngredientesmalte de cevada, fermento, lúpulo e águaAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) Pilsner CalderetaVisite o website,NA,Amber Lager,4.5,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner Caldereta,2.7,5,3,11,3,5,59
Áustria Bier Pilsen,Krug Bier:: ver detalhes da cervejariaEstiloStandard American Lager  Álcool (%)4.5% ABVIngredientesmalte de cevada, fermento, lúpulo e águaAtivaNÃOSazonalNão é sazonalTemperatura0-4 °C Visite o website,NA,Standard American Lager,4.5,NÃO,Não é sazonal,0,4,NA,2.7,5,3,11,3,6,46
Áustria Hefe Weizen,Krug Bier:: ver detalhes da cervejariaEstiloGerman Weizen  Álcool (%)5.1% ABVIngredienteságua, trigo maltado e fermento especialAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.1,SIM,Não é sazonal,5,7, Weizen,2.8,5,3,11,3,6,65
Áustria Export,Krug Bier:: ver detalhes da cervejariaEstiloPremium American Lager  Álcool (%)4.9% ABVIngredientesÁgua, malte, lúpulo e levedura.AtivaSIMSazonalVerãoTemperatura5-7 °C Copo ideal Lager (Chope)Visite o website,NA,Premium American Lager,4.9,SIM,Verão,NA,5, Lager (Chope),2.8,5,3,11,3,6,30
Áustria Golden Ale,Krug Bier:: ver detalhes da cervejariaEstiloBlond Ale  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CalderetaVisite o website,NA,Blond Ale,4.7,SIM,Não é sazonal,5,7, Caldereta,3.1,6,3,13,3,6,46
Áustria Imperium,Krug BierEstiloImperial / Double IPA  Álcool (%)9.5% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal PintVisite o website,NA,Imperial / Double IPA,9.5,SIM,Não é sazonal,8,12, Pint,3.3,7,4,14,3,6,27
Backer Brown,Cervejaria Backer:: ver detalhes da cervejariaEstiloSpecialty Beer  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa CalderetaVisite o website,NA,Specialty Beer,4.8,SIM,Não é sazonal,8,12, Tulipa Caldereta,3,6,3,12,3,6,205
Backer Capitão Senra,Cervejaria Backer:: ver detalhes da cervejariaEstiloAmber Lager  Álcool (%)5.3% ABVIngredientesÁgua, Malte de cevada, Carboidratos de Cereais, Lúpulo e Antioxidante INS 316AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Amber Lager,5.3,SIM,Não é sazonal,316,0, Lager (Chope),3.2,6,4,13,3,6,61
Backer Pale Ale,Cervejaria Backer:: ver detalhes da cervejariaEstiloExtra Special Bitter/English Pale Ale  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa CalderetaVisite o website,NA,Extra Special Bitter/English Pale Ale,4.8,SIM,Não é sazonal,5,7, Tulipa Caldereta,3.3,6,4,13,3,7,210
Backer Pilsen,Cervejaria Backer:: ver detalhes da cervejariaEstiloStandard American Lager  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) Pilsner CalderetaVisite o website,NA,Standard American Lager,4.8,SIM,Não é sazonal,0,4, Lager (Chope) Pilsner Caldereta,2.8,5,3,11,3,6,162
Backer Trigo,Cervejaria Backer:: ver detalhes da cervejariaEstiloGerman Weizen  Álcool (%)5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5,SIM,Não é sazonal,5,7, Weizen,2.9,5,3,11,3,6,204
Amazon Beer Forest Bacuri,Amazon Beer:: ver detalhes da cervejariaEstiloFruit Beer  Álcool (%)3.8% ABVIngredientesÁgua, malte, lúpulo, levedura e bacuri (fruta típica amazônica)AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal TulipaVisite o website,NA,Fruit Beer,3.8,SIM,Não é sazonal,0,4, Tulipa,3.2,7,3,13,3,6,116
Bad Moose,Blondine Microbrewery:: ver detalhes da cervejariaEstiloStandard American Lager  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Lager (Chope)Visite o website,NA,Standard American Lager,4.5,SIM,Não é sazonal,5,7, Lager (Chope),2.1,4,3,8,2,4,31
Bad Moose Pale Ale,Blondine Microbrewery:: ver detalhes da cervejariaEstiloAmerican Pale Ale  Álcool (%)4.7% ABVIngredientesÁgua, malte, lúpulo e fermentoAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal CalderetaVisite o website,NA,American Pale Ale,4.7,SIM,Não é sazonal,8,12, Caldereta,3.2,6,4,13,3,7,32
Baden Baden 15 anos,Baden BadenEstiloMaibock/Helles Bock  Álcool (%)6.7% ABVIBU16Ingredientesagua, malte e lúpuloAtivaSIMSazonalComemorativaTemperatura5-7 °C Copo ideal TaçaVisite o website,NA,Maibock/Helles Bock,6.7,SIM,Comemorativa,16,5, Taça,3.2,6,4,13,3,6,40
Baden Baden 1999,Baden Baden,Schincariol,Special/Premium Bitter,6,SIM,Não é sazonal,5,7, Taça Caldereta,3.3,6,4,13,3,6,243
Baden Baden 5 Grãos,Baden Baden,Heineken,Specialty Beer,5.9,SIM,Não é sazonal,NA,5, Tulipa,3.3,6,3,13,3,7,51
Baden Baden American IPA,Baden BadenEstiloAmerican IPA  Álcool (%)6.4% ABVIBU40AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pint,NA,American IPA,6.4,SIM,Não é sazonal,40,5, Pint,3.5,7,4,14,3,7,102
Baden Baden Bock,Baden Baden,Schincariol,Traditional Bock,6.5,SIM,Não é sazonal,8,12, Taça Caldereta,3.1,6,3,12,3,6,215
Baden Baden Celebration Inverno,Baden Baden,Schincariol,Doppelbock,8,SIM,Inverno,8,12, Taça Caldereta,3.4,7,4,14,3,7,130
Baden Baden Chocolate Beer,Baden Baden,Schincariol,Specialty Beer,6,SIM,Inverno,5,7, Taça,3.4,7,4,13,3,7,191
Baden Baden Christmas Beer,Baden Baden,Schincariol,Specialty Beer,5.5,SIM,Natal (Christmas),NA,5, Tulipa Flauta,2.7,5,3,10,3,5,108
Baden Baden Cristal,Baden Baden,Schincariol,Standard American Lager,5,SIM,Não é sazonal,0,4, Pilsner Caldereta,2.7,5,3,11,3,5,242
Baden Baden Golden Ale,Baden Baden,Schincariol,Cream Ale,4.5,SIM,Não é sazonal,5,7, Tulipa,3,6,3,11,3,6,333
Baden Baden Red Ale,Baden Baden,Schincariol,Barley Wine,9.2,SIM,Não é sazonal,5,7, Tulipa Conhaque,3.7,7,4,15,4,7,411
Baden Baden Stout,Baden Baden,Schincariol,Foreign Extra Stout,7.5,SIM,Não é sazonal,8,12, Pint,3.6,7,4,14,3,7,321
Baden Baden Weiss,Baden Baden,Schincariol,German Weizen,5.2,SIM,Não é sazonal,5,7, Weizen,3.3,6,3,13,3,7,278
Baden Baden Witbier,Baden Baden,Schincariol,Witbier,4.9,SIM,Não é sazonal,0,4, Tumbler,3.3,6,4,13,3,6,99
Bamberg Alt,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloAltbier  Álcool (%)4.8% ABVAtivaSIMSazonalInvernoTemperatura5-7 °C Copo ideal CilíndricoVisite o website,NA,Altbier,4.8,SIM,Inverno,5,7, Cilíndrico,3.4,6,4,14,3,7,140
Bamberg Bock,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloTraditional Bock  Álcool (%)6.5% ABVAtivaSIMSazonalInvernoTemperatura8-12 °C Copo ideal Taça Pint CalderetaVisite o website,NA,Traditional Bock,6.5,SIM,Inverno,8,12, Taça Pint Caldereta,3.4,7,4,14,3,7,45
Bamberg Camila Camila,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloBohemian Pilsener  Álcool (%)5% ABVIBU42IngredientesÁgua, malte, lúpulo e levedura.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PilsnerVisite o website,NA,Bohemian Pilsener,5,SIM,Não é sazonal,42,NA, Pilsner,3.7,7,4,15,4,8,122
Bamberg Caos,Cervejaria BambergEstiloSpecialty Beer  Álcool (%)8% ABVIBU101AtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TulipaVisite o website,NA,Specialty Beer,8,SIM,Não é sazonal,101,8, Tulipa,3.8,7,4,16,4,8,47
Bamberg Die Wiesn,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloOktoberfest/Marzen  Álcool (%)5.7% ABVAtivaSIMSazonalOktoberfestTemperatura0-4 °C Copo ideal CanecaVisite o website,NA,Oktoberfest/Marzen,5.7,SIM,Oktoberfest,0,4, Caneca,3.6,7,4,15,4,7,35
Bamberg Helles,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloMunich Helles  Álcool (%)5.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Munich Helles,5.2,SIM,Não é sazonal,5,7, Caneca,3.6,6,4,14,4,7,105
Bamberg Maibaum,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloMaibock/Helles Bock  Álcool (%)6.5% ABVAtivaSIMSazonalOutonoTemperatura5-7 °C Copo ideal TaçaVisite o website,NA,Maibock/Helles Bock,6.5,SIM,Outono,5,7, Taça,3.6,7,4,14,4,7,35
Bamberg München,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloMunich Dunkel  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Taça CalderetaVisite o website,NA,Munich Dunkel,4.8,SIM,Não é sazonal,0,4, Taça Caldereta,3.2,6,3,13,3,6,115
Bamberg Pilsen,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloPremium American Lager  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Pilsner CalderetaVisite o website,NA,Premium American Lager,4.8,SIM,Não é sazonal,0,4, Pilsner Caldereta,3,6,3,12,3,6,110
Bamberg Rauchbier,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloRauchbier  Álcool (%)5.2% ABVIngredientesÁgua, malte de cevada, lúpulo e fermento.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa CilíndricoVisite o website,NA,Rauchbier,5.2,SIM,Não é sazonal,NA,5, Tulipa Cilíndrico,3.6,7,4,15,4,7,225
Bamberg Schwarzbier,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloSchwarzbier  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa CalderetaVisite o website,NA,Schwarzbier,4.8,SIM,Não é sazonal,5,7, Tulipa Caldereta,3.5,7,4,14,3,7,108
Bamberg Weizen,Cervejaria Bamberg:: ver detalhes da cervejariaEstiloGerman Weizen  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal WeizenVisite o website,NA,German Weizen,4.8,SIM,Não é sazonal,0,4, Weizen,3.3,7,3,13,3,7,138
Bambergerator,Cervejaria BambergEstiloDoppelbock  Álcool (%)8.2% ABVAtivaNÃOSazonalInvernoTemperatura8-12 °C Copo ideal TulipaVisite o website,NA,Doppelbock,8.2,NÃO,Inverno,8,12, Tulipa,4,8,4,16,4,8,33
Barco Hot Lager,Barco:: ver detalhes da cervejariaEstiloPremium American Lager  Álcool (%)5.5% ABVIBU14AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Premium American Lager,5.5,SIM,Não é sazonal,14,0, Lager (Chope),3,5,3,12,3,6,39
Kings e Queens,Barco:: ver detalhes da cervejariaEstiloBelgian Golden Strong Ale  Álcool (%)5.8% ABVIBU15Cor SRM17,00AtivaNÃOSazonalNão é sazonalVisite o website,NA,Belgian Golden Strong Ale,5.8,NÃO,Não é sazonalVisite o website,15,NA,NA,3.2,6,3,13,3,6,31
Bauhaus,Cervejaria Premium:: ver detalhes da cervejariaEstiloPremium American Lager  Álcool (%)5.1% ABVIngredientesÁgua, malte, lúpulo, corante caramelo CV, antioxidante INS 316 e estabilizante INS 405.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) PilsnerVisite o website,NA,Premium American Lager,5.1,SIM,Não é sazonal,316,405, Lager (Chope) Pilsner,3,5,3,12,3,6,112
